@relation weka_TrainingData_driverHabit_park_df_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
391,11.7,0,-2.925,-8.099999,10.75,5,cluster5
392,47.699997,0,-2.65,-8.099999,153.749997,19,cluster0
393,53.099998,18,-3.9,-8.099998,88.499996,10,cluster0
394,68.400002,53.099998,-3.825001,-8.099998,87.249997,5,cluster6
395,35.099998,21.599998,-4.5,-8.099998,29.499999,4,cluster4
396,52.199997,41.399998,-3.6,-8.099998,51.749998,4,cluster6
397,69.299995,61.199997,-8.099998,-8.099998,36.249998,2,cluster2
398,51.3,10.799999,-4.5,-8.099998,88.999998,10,cluster0
399,29.315695,10.495713,-3.136664,-7.380989,34.750445,7,cluster4
400,41.399998,0,-5.175,-7.200002,55.499999,9,cluster0
401,39.6,29.699999,-4.95,-7.200002,28.249999,3,cluster4
402,49.5,0,-4.5,-7.200002,83.749999,12,cluster0
403,71.1,62.1,-4.5,-7.200002,54.749999,3,cluster6
404,42.3,0,-4.23,-7.200002,64.999998,11,cluster0
405,53.1,0,-4.084615,-7.200002,97.249997,14,cluster0
406,74.7,50.399998,-4.05,-7.200002,126.999999,7,cluster6
407,45,25.199999,-3.96,-7.200002,58.999999,6,cluster4
408,48.6,0,-3.471429,-7.200002,102.499998,15,cluster0
409,17.1,0,-3.42,-7.200002,64.249998,6,cluster4
410,72,59.399998,-3.15,-7.200002,93.749998,5,cluster6
411,66.6,54.899998,-2.925,-7.200002,86.999999,5,cluster6
412,27.9,20.699999,-7.200001,-7.200001,13.5,2,cluster2
413,50.399998,43.199997,-7.200001,-7.200001,25.999999,2,cluster2
414,23.4,13.5,-4.95,-7.200001,14.75,3,cluster4
415,43.199997,16.199999,-4.5,-7.200001,59.249998,7,cluster4
416,60.3,52.199997,-4.050001,-7.200001,47.749999,3,cluster6
417,27.9,0,-3.4875,-7.200001,44.499999,9,cluster4
418,53.1,0,-3.123529,-7.200001,141.749998,18,cluster0
419,71.1,49.5,-2.7,-7.200001,155.499996,9,cluster6
420,51.299999,0,-4.275,-7.200001,86.499998,13,cluster0
421,43.199997,10.799999,-4.05,-7.200001,68.749997,9,cluster0
422,62.099998,0,-3.652941,-7.200001,177.999994,18,cluster0
423,45.899998,0,-3.530769,-7.200001,99.749996,14,cluster0
424,52.199997,43.199997,-3,-7.200001,52.999998,4,cluster6
