@relation weka_test_park_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
175,33.299999,26.099998,-7.200001,-7.200001,16.499999,2,24.423077,cluster3
176,9.9,0,-4.95,-7.2,3.5,3,13.510638,cluster4
177,12.599999,1.8,-2.7,-7.2,10.75,5,33.421053,cluster3
178,14.4,7.2,-7.2,-7.2,6,2,16.710526,cluster4
179,50.399998,6.3,-4.9,-7.2,79.499998,10,15.875,cluster0
180,31.5,18,-4.5,-7.2,26.25,4,9.621212,cluster4
181,57.6,0,-4.430769,-7.2,70.472222,14,8.466667,cluster0
182,44.1,27,-4.275,-7.2,47.25,5,8.246753,cluster1
183,49.5,0,-4.125,-7.2,100,13,10.762712,cluster0
184,36,0,-4,-7.2,50.999999,10,11.339286,cluster4
185,53.1,41.4,-3.9,-7.2,53.25,4,8.819444,cluster1
186,52.2,36.9,-3.825,-7.2,64.25,5,12.45098,cluster1
187,53.1,13.5,-3.6,-7.2,103.999998,12,11.759259,cluster0
188,57.6,0.9,-3.54375,-7.2,162.5,17,7.559524,cluster0
189,64.799995,34.2,-3.399999,-7.2,140.249997,10,12.959184,cluster1
190,66.6,44.1,-4.5,-6.300003,92.499998,6,9.071429,cluster1
191,52.199997,37.8,-3.599999,-6.300003,61.749998,5,10.241935,cluster1
192,28.8,10.799999,-4.5,-6.300002,28.999999,5,7.470588,cluster4
193,36.899998,0,-4.1,-6.300002,44.249998,10,13.510638,cluster4
194,47.699997,0,-3.975,-6.300002,84.999998,13,15.119048,cluster0
195,44.1,0,-3.392308,-6.300002,87.499999,14,8.037975,cluster0
196,54.899998,0,-3.05,-6.300002,131.499997,19,10.079365,cluster0
197,29.699999,5.4,-2.025,-6.300002,56.499998,13,9.621212,cluster4
198,37.799999,21.599998,-2.7,-6.300001,63.749998,7,13.804348,cluster1
199,57.599998,2.7,-4.223077,-6.300001,115.499997,14,10.762712,cluster0
