@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
251,38.7,0,-4.3,-8.999998,63.999999,10,cluster3
252,8.496374,0,-8.496374,-8.496374,2.360104,2,cluster2
253,8.273135,0,-8.273135,-8.273135,2.298093,2,cluster0
254,55.169468,15.612954,-3.955651,-8.191325,120.686112,11,cluster3
255,44.17649,32.162544,-2.402789,-8.144455,64.7549,6,cluster3
256,69.299995,12.599999,-5.154545,-8.100003,149.249995,12,cluster3
257,65.7,35.1,-4.371429,-8.100003,116.749998,8,cluster3
258,57.6,0,-4.114286,-8.100003,120.999996,15,cluster3
259,56.699997,32.399998,-4.86,-8.100002,79.249999,6,cluster3
260,65.7,31.5,-2.85,-8.100002,166.999998,13,cluster3
261,55.8,21.599998,-2.442857,-8.100002,169.249997,15,cluster3
262,24.3,16.199999,-8.100001,-8.100001,11.25,2,cluster2
263,27,1.8,-5.04,-8.100001,22.25,6,cluster3
264,36,6.3,-4.95,-8.100001,35.75,7,cluster3
265,40.5,0,-4.5,-8.100001,55.75,10,cluster3
266,63,0,-4.5,-8.100001,142.249996,15,cluster3
267,28.8,19.8,-4.5,-8.100001,19.25,3,cluster3
268,33.3,0,-4.1625,-8.100001,36.499999,9,cluster3
269,32.399998,2.7,-3.7125,-8.100001,45.249999,9,cluster3
270,40.5,19.8,-3.45,-8.100001,59.499999,7,cluster3
271,55.8,0,-3.1,-8.100001,138.999996,19,cluster3
272,19.8,5.4,-7.2,-8.1,10.75,3,cluster0
273,45,3.6,-2.957143,-8.1,115.499996,15,cluster3
274,36.899998,0,-4.1,-8.1,51.249998,10,cluster3
275,35.099998,18.9,-4.05,-8.1,36.499999,5,cluster3
276,62.099998,4.5,-3.6,-8.1,144.999996,17,cluster3
277,27,17.1,-3.3,-8.1,22.5,4,cluster3
278,24.3,0,-4.86,-8.1,18.5,6,cluster3
279,68.4,60.3,-8.1,-8.1,35.75,2,cluster2
280,23.4,12.599999,-5.4,-8.1,15.749999,3,cluster0
281,28.8,12.599999,-5.4,-8.1,24.749999,4,cluster3
282,26.099998,4.5,-5.399999,-8.1,19.249999,5,cluster3
283,27,11.7,-5.1,-8.1,23.5,4,cluster3
284,22.5,12.599999,-4.95,-8.1,13.75,3,cluster0
285,53.1,23.4,-4.95,-8.1,79.749999,7,cluster3
286,21.599998,2.7,-4.725,-8.1,17.499999,5,cluster0
287,61.199997,5.4,-4.65,-8.1,111.999998,13,cluster3
288,23.4,5.4,-4.5,-8.1,19.499999,5,cluster0
289,45,0,-4.5,-8.1,76.499999,11,cluster3
290,60.3,3.6,-4.361538,-8.1,126.249998,14,cluster3
291,57.6,23.4,-4.275,-8.1,90.999999,9,cluster3
292,29.699999,0,-4.242857,-8.1,27.499999,8,cluster3
