@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
176,126.27995,121.327705,-4.952245,-4.952245,68.779904,2,cluster2
177,56.462463,46.882504,-3.19332,-4.913162,58.735204,4,cluster2
178,42.109998,37.239997,-4.870001,-4.870001,22.041665,2,cluster2
179,40.961628,21.20839,-2.469155,-4.855795,83.116275,9,cluster2
180,68.66006,60.152508,-2.126888,-4.851334,88.692898,5,cluster2
181,4.848013,0,-4.848013,-4.848013,1.34667,2,cluster1
182,54.33,49.17,-2.58,-4.83,43.75,3,cluster2
183,48.26895,41.42921,-2.279913,-4.81888,51.152794,4,cluster2
184,39.91354,0,-2.850967,-4.813914,95.09762,15,cluster1
185,5.260843,0,-1.052169,-4.799434,6.989031,6,cluster1
186,69.3515,64.589874,-4.761626,-4.761626,37.205937,2,cluster2
187,22.369946,17.617264,-4.752682,-4.752682,11.107558,2,cluster2
188,4.73679,0,-4.73679,-4.73679,1.315775,2,cluster1
189,46.882504,42.162434,-4.72007,-4.72007,24.734705,2,cluster3
190,17.340416,12.633201,-4.707215,-4.707215,8.326005,2,cluster2
191,45.36444,38.91171,-2.15091,-4.702693,45.988065,4,cluster2
192,42.74444,16.242622,-2.650182,-4.696882,91.477773,11,cluster2
193,94.95022,90.26624,-4.68398,-4.68398,51.449017,2,cluster2
194,35.85959,0,-2.109388,-4.68272,84.647045,18,cluster1
195,65.25374,59.320095,-1.977882,-4.66057,68.156688,4,cluster2
196,46.478703,37.852196,-4.313254,-4.654883,35.042977,3,cluster2
197,64.876526,56.270603,-1.721185,-4.613594,103.530009,6,cluster2
198,100.70243,92.6351,-2.68911,-4.60243,106.984506,4,cluster2
199,35.214497,19.566008,-3.129698,-4.580172,44.309077,6,cluster2
200,61.51887,53.371597,-2.715758,-4.5521,63.840913,4,cluster2
201,75.19609,69.496826,-2.849632,-4.54565,59.817599,3,cluster2
202,21.097425,12.133476,-2.987983,-4.542402,17.425763,4,cluster2
203,92.20813,77.47561,-2.104646,-4.521209,188.226828,8,cluster4
204,114.938385,110.50529,-4.433095,-4.433095,62.623243,2,cluster5
205,51.869526,47.445496,-4.42403,-4.42403,27.587506,2,cluster3
206,112.68035,104.80364,-3.938355,-4.3982,90.490594,3,cluster5
207,83.262955,78.86788,-4.395075,-4.395075,45.036343,2,cluster2
208,107.88464,100.221176,-1.915866,-4.35498,143.358041,5,cluster4
209,101.69354,97.354065,-4.339475,-4.339475,55.291001,2,cluster5
210,71.27566,63.937298,-3.669181,-4.324755,56.156629,3,cluster2
211,41.399998,37.109999,-4.289998,-4.289998,21.808332,2,cluster3
212,97.29906,86.16293,-1.590876,-4.283225,206.452226,8,cluster4
213,120.61485,115.978584,-2.318133,-4.27293,98.037598,3,cluster5
214,104.56569,99.094955,-1.823578,-4.2592,112.013813,4,cluster4
215,101.68276,97.4346,-4.24816,-4.24816,55.310378,2,cluster5
216,96.393364,87.91967,-2.118424,-4.240245,127.428978,5,cluster4
217,7.399845,0,-3.699922,-4.218577,2.939198,3,cluster1
218,69.02418,63.59094,-2.71662,-4.214625,54.840187,3,cluster2
219,105.74005,101.559784,-4.180266,-4.180266,57.583287,2,cluster5
220,104.617355,100.442055,-4.1753,-4.1753,56.960947,2,cluster5
221,62.308067,31.662834,-1.225809,-4.147756,356.545645,26,cluster2
222,107.04929,94.73021,-1.759869,-4.13676,228.401624,8,cluster4
223,104.06738,98.81917,-2.624105,-4.136334,84.115999,3,cluster5
224,4.26442,0.150075,-4.114345,-4.114345,1.226249,2,cluster2
225,110.193825,106.068016,-2.062905,-4.081745,89.548311,3,cluster5
226,44.479997,40.399998,-4.079999,-4.079999,23.577776,2,cluster3
227,50.475853,43.268375,-2.402493,-4.078671,51.777166,4,cluster2
228,52.96812,45.53635,-2.477257,-4.075008,53.750691,4,cluster2
229,21.518074,14.543831,-2.324748,-4.060766,19.179744,4,cluster2
230,20.25,16.199999,-4.050001,-4.050001,10.125,2,cluster2
231,108.15642,103.70325,-2.226585,-4.04948,88.781222,3,cluster5
232,65.426765,61.19062,-2.118072,-4.041515,52.222954,3,cluster2
233,103.354095,89.6784,-1.243245,-4.03524,316.685238,12,cluster4
234,63.14722,57.565586,-2.790817,-4.02861,49.953171,3,cluster2
235,39.16408,27.03045,-2.426726,-4.007455,57.628084,6,cluster2
236,80.55706,74.79844,-1.439655,-3.99382,107.673663,5,cluster2
237,45.85887,31.08022,-1.847331,-3.976873,95.427435,9,cluster2
238,52.1674,48.190834,-3.976566,-3.976566,27.877287,2,cluster3
239,54.986477,46.21699,-2.192372,-3.97361,69.811024,5,cluster2
240,8.595234,1.843143,-1.688023,-3.961031,7.603623,5,cluster0
241,10.185731,0,-1.697622,-3.905054,10.470348,7,cluster1
242,71.36392,67.36681,-1.998555,-3.89856,58.33225,3,cluster2
243,28.23537,24.338839,-3.896531,-3.896531,14.603947,2,cluster3
244,17.425018,9.80294,-1.90552,-3.895792,18.239263,5,cluster0
245,63.515087,56.755535,-2.253184,-3.888563,66.880129,4,cluster2
246,117.49599,112.34956,-1.715477,-3.88419,126.69655,4,cluster4
247,54.402355,50.5264,-3.875955,-3.875955,29.146876,2,cluster3
248,59.01653,52.95686,-2.01989,-3.85614,61.715487,4,cluster2
249,111.97724,105.883484,-2.031252,-3.85182,119.981409,4,cluster4
250,6.041185,2.190789,-3.850396,-3.850396,2.286659,2,cluster2
251,97.382164,93.54861,-3.833554,-3.833554,53.036326,2,cluster5
252,74.74813,68.32262,-1.606378,-3.8322,99.253292,5,cluster2
253,96.35778,92.48333,-1.937225,-3.824875,79.208143,3,cluster5
254,50.39697,43.269142,-1.187971,-3.824583,90.597413,7,cluster2
