@relation weka_test_park

@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric

@data
69.299995,38.700001,-3.824999,-6.300003,141.749997,9,11.981132
41.399998,20.699999,-2.957143,-6.300003,65.749998,8,11.140351
63,56.699997,-6.300003,-6.300003,33.249999,2,27.608696
49.5,43.199997,-6.300003,-6.300003,25.749999,2,12.7
22.5,1.8,-5.175,-8.1,18.249999,5,7.470588
53.1,23.4,-4.95,-8.1,79.749999,7,8.819444
51.3,24.3,-4.5,-8.1,71.999998,7,7.650602
57.6,23.4,-4.275,-8.1,90.999999,9,24.423077
29.699999,0,-4.242857,-8.1,29.749999,8,13.510638
41.4,0,-4.14,-8.1,73.75,11,33.421053
57.6,0,-3.84,-8.1,144.499997,16,16.710526
36.899998,0,-3.69,-8.1,42.999999,11,14.767442
18.9,4.5,-3.6,-8.1,19.5,5,11.759259
63.899998,1.8,-3.45,-8.1,196.999995,19,9.477612
27.9,11.7,-3.24,-8.1,35.75,6,8.69863
19.8,4.5,-2.55,-8.1,18,7,16.710526
39.6,19.8,-6.6,-8.1,32.499999,4,7.383721
24.299999,0,-4.05,-8.1,24.999999,7,9.071429
49.5,0,-3.3,-8.099999,133.999997,16,17.162162
9,0,-4.5,-8.099999,4.75,3,13.229167
8.099999,0,-8.099999,-8.099999,2.25,2,8.141026
16.199999,4.5,-3.9,-8.099999,13.499999,4,9.921875
14.4,2.7,-2.925,-8.099999,13.25,5,21.896552
47.699997,0,-2.65,-8.099999,153.749997,19,10.241935
35.099998,21.599998,-4.5,-8.099998,29.499999,4,20.483871
69.299995,61.199997,-8.099998,-8.099998,36.249998,2,31.75
56.699997,0,-4.05,-8.099998,118.999999,15,8.466667
41.399998,0,-5.175,-7.200002,55.499999,9,9.769231
71.1,62.1,-4.5,-7.200002,54.749999,3,11.981132
48.6,0,-4.05,-7.200002,78.749998,13,11.140351
61.199997,1.8,-3.221052,-7.200002,191.499995,20,27.608696
43.199997,0,-2.7,-7.200002,99.749997,17,12.7
60.3,0,-5.025,-7.200001,114.499999,13,7.470588
37.8,0,-3.78,-7.200001,64.249998,11,8.819444
68.4,8.099999,-3.257143,-7.200001,229.999999,22,7.650602
33.299999,26.099998,-7.200001,-7.200001,16.499999,2,24.423077
9.9,0,-4.95,-7.2,3.5,3,13.510638
12.599999,1.8,-2.7,-7.2,10.75,5,33.421053
14.4,7.2,-7.2,-7.2,6,2,16.710526
50.399998,6.3,-4.9,-7.2,79.499998,10,15.875
31.5,18,-4.5,-7.2,26.25,4,9.621212
57.6,0,-4.430769,-7.2,70.472222,14,8.466667
44.1,27,-4.275,-7.2,47.25,5,8.246753
49.5,0,-4.125,-7.2,100,13,10.762712
36,0,-4,-7.2,50.999999,10,11.339286
53.1,41.4,-3.9,-7.2,53.25,4,8.819444
52.2,36.9,-3.825,-7.2,64.25,5,12.45098
53.1,13.5,-3.6,-7.2,103.999998,12,11.759259
57.6,0.9,-3.54375,-7.2,162.5,17,7.559524
64.799995,34.2,-3.399999,-7.2,140.249997,10,12.959184
66.6,44.1,-4.5,-6.300003,92.499998,6,9.071429
52.199997,37.8,-3.599999,-6.300003,61.749998,5,10.241935
28.8,10.799999,-4.5,-6.300002,28.999999,5,7.470588
36.899998,0,-4.1,-6.300002,44.249998,10,13.510638
47.699997,0,-3.975,-6.300002,84.999998,13,15.119048
44.1,0,-3.392308,-6.300002,87.499999,14,8.037975
54.899998,0,-3.05,-6.300002,131.499997,19,10.079365
29.699999,5.4,-2.025,-6.300002,56.499998,13,9.621212
37.799999,21.599998,-2.7,-6.300001,63.749998,7,13.804348
57.599998,2.7,-4.223077,-6.300001,115.499997,14,10.762712
