@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
182,33.299999,0,-4.757143,-17.999999,28.749999,8,22.811481,cluster5
183,40.5,21.599998,-4.725001,-9.000001,39.999999,5,4.554931,cluster3
184,37.799999,0,-4.725,-10.799999,41.749999,9,6.047619,cluster5
185,21.599998,2.7,-4.725,-8.1,17.499999,5,5.017525,cluster1
186,46.8,0,-4.68,-6.3,71,11,4.980936,cluster5
187,70.2,0,-4.68,-10.8,170.499995,16,18.349357,cluster5
188,49.5,21.599998,-4.65,-10.8,71.499999,7,5.093847,cluster3
189,27.9,0,-4.65,-15.299998,17.249999,7,25.4831,cluster2
190,61.199997,5.4,-4.65,-8.1,111.999998,13,13.887448,cluster0
191,60.299999,0,-4.638461,-7.200001,120.249997,14,9.202899,cluster5
192,45.899998,13.5,-4.628571,-9.900002,67.749999,8,11.081186,cluster3
193,64.799995,0,-4.628571,-9,151.749996,15,11.339286,cluster5
194,41.399998,0,-4.6,-7.2,55.999999,10,5.521739,cluster5
195,63.899998,0,-4.564286,-9,163.749998,15,12.211538,cluster5
196,34.2,29.699999,-4.500001,-4.500001,17.75,2,4.356827,cluster3
197,44.1,30.599998,-4.500001,-8.099997,42.499999,4,7.9375,cluster3
198,19.8,10.799999,-4.5,-6.300001,13.25,3,12.114042,cluster1
199,24.3,10.799999,-4.5,-7.200001,20.249999,4,6.888229,cluster1
200,7.2,2.7,-4.5,-4.5,2.75,2,4.468245,cluster1
201,17.1,3.6,-4.5,-7.2,10.75,4,6.073666,cluster1
202,23.4,5.4,-4.5,-8.1,19.499999,5,22.761671,cluster6
203,23.4,5.4,-4.5,-7.2,18.75,5,4.482225,cluster1
204,4.5,0,-4.5,-4.5,1.25,2,5.469044,cluster2
205,40.5,0,-4.5,-7.200001,62.749999,10,4.225487,cluster5
206,61.199997,56.699997,-4.5,-4.5,32.749998,2,3.835071,cluster3
207,30.599998,21.599998,-4.5,-8.099998,20.749999,3,8.355263,cluster3
208,40.5,0,-4.5,-7.200001,55.749998,10,17.845389,cluster5
209,22.5,18,-4.5,-4.5,11.25,2,11.472196,cluster3
210,54,0,-4.5,-15.3,89.999997,13,8.90513,cluster5
211,25.199999,16.199999,-4.5,-5.4,16.999999,3,22.678571,cluster3
212,40.5,0,-4.5,-8.100001,55.75,10,3.451087,cluster5
213,9,0,-4.5,-8.099999,4.75,3,7.692434,cluster2
214,36.899998,32.399998,-4.5,-4.5,19.249999,2,6.35,cluster3
215,29.699999,25.199999,-4.5,-4.5,15.249999,2,5.87963,cluster3
216,9,0,-4.5,-6.3,3.25,3,7.134831,cluster2
217,85.5,81,-4.5,-4.5,46.25,2,8.121075,cluster4
218,9.9,0.9,-4.5,-6.3,5,3,4.05185,cluster1
219,58.5,49.5,-4.5,-6.300003,44.499999,3,6.48291,cluster3
220,63,0,-4.5,-8.100001,142.249996,15,7.138656,cluster5
221,15.299999,10.799999,-4.5,-4.5,7.249999,2,6.960867,cluster1
222,40.5,36,-4.5,-4.5,21.25,2,8.561763,cluster3
